cohort,isolate,drug,raw,cal,y
sl_ext,SAMEA2535215,EMB,0.07161391526460648,0.022040816326530613,0
sl_ext,SAMEA2535225,EMB,0.17110568284988403,0.052980132450331126,0
sl_ext,SAMEA2535227,EMB,0.010309653356671333,0.00463678516228748,0
sl_ext,SAMEA2535254,EMB,0.010326680727303028,0.00463678516228748,0
sl_ext,SAMEA2535275,EMB,0.11052877455949783,0.037267080745341616,0
sl_ext,SAMEA2535299,EMB,0.12529876828193665,0.037267080745341616,0
sl_ext,SAMEA2535325,EMB,0.016469039022922516,0.005270092226613966,0
sl_ext,SAMEA2535342,EMB,0.07392615079879761,0.02242152466367713,0
sl_ext,SAMEA2535344,EMB,0.00991392694413662,0.00463678516228748,0
sl_ext,SAMEA2535355,EMB,0.009723198600113392,0.00463678516228748,0
sl_ext,SAMEA2533356,PZA,0.2140084207057953,0.3058103975535168,0
sl_ext,SAMEA2533376,PZA,0.7844865918159485,0.8365081492973198,1
sl_ext,SAMEA2533414,PZA,0.2140084207057953,0.3058103975535168,0
sl_ext,SAMEA2533427,PZA,0.2140084207057953,0.3058103975535168,0
sl_ext,SAMEA2533504,PZA,0.2140084207057953,0.3058103975535168,0
sl_ext,SAMEA2533550,PZA,0.2140084207057953,0.3058103975535168,0
sl_ext,SAMEA2533579,PZA,0.2140084207057953,0.3058103975535168,0
sl_ext,SAMEA2533595,PZA,0.2140084207057953,0.3058103975535168,0
sl_ext,SAMEA2533617,PZA,0.2140084207057953,0.3058103975535168,0
sl_ext,SAMEA2533651,PZA,0.2140084207057953,0.3058103975535168,0
sl_ext,SAMEA2533673,PZA,0.2140084207057953,0.3058103975535168,0
sl_ext,SAMEA2533674,PZA,0.7844865918159485,0.8365081492973198,1
sl_ext,SAMEA2533690,PZA,0.2140084207057953,0.3058103975535168,0
sl_ext,SAMEA2533702,PZA,0.2140084207057953,0.3058103975535168,0
sl_ext,SAMEA2533713,PZA,0.2140084207057953,0.3058103975535168,0
sl_ext,SAMEA2533720,PZA,0.7844865918159485,0.8365081492973198,1
sl_ext,SAMEA2533753,PZA,0.2140084207057953,0.3058103975535168,0
sl_ext,SAMEA2533765,PZA,0.2140084207057953,0.3058103975535168,0
sl_ext,SAMEA2533809,PZA,0.2140084207057953,0.3058103975535168,0
sl_ext,SAMEA2533865,PZA,0.2140084207057953,0.3058103975535168,0
sl_ext,SAMEA2533915,PZA,0.2140084207057953,0.3058103975535168,0
sl_ext,SAMEA2533929,PZA,0.2140084207057953,0.3058103975535168,0
sl_ext,SAMEA2533942,PZA,0.2140084207057953,0.3058103975535168,0
sl_ext,SAMEA2533994,PZA,0.2140084207057953,0.3058103975535168,0
sl_ext,SAMEA2534021,PZA,0.2140084207057953,0.3058103975535168,0
sl_ext,SAMEA2534031,PZA,0.2140084207057953,0.3058103975535168,0
sl_ext,SAMEA2534034,PZA,0.8578646183013916,0.9448818897637795,1
sl_ext,SAMEA2534074,PZA,0.7844865918159485,0.8365081492973198,1
sl_ext,SAMEA2534148,PZA,0.2140084207057953,0.3058103975535168,0
sl_ext,SAMEA2534204,PZA,0.7844865918159485,0.8365081492973198,1
sl_ext,SAMEA2534237,PZA,0.2140084207057953,0.3058103975535168,0
sl_ext,SAMEA2534243,PZA,0.2140084207057953,0.3058103975535168,0
sl_ext,SAMEA2534287,PZA,0.2140084207057953,0.3058103975535168,0
sl_ext,SAMEA2534293,PZA,0.2140084207057953,0.3058103975535168,0
sl_ext,SAMEA2534340,PZA,0.2140084207057953,0.3058103975535168,0
sl_ext,SAMEA2534401,PZA,0.2140084207057953,0.3058103975535168,0
sl_ext,SAMEA2534408,PZA,0.2140084207057953,0.3058103975535168,0
sl_ext,SAMEA2534409,PZA,0.2140084207057953,0.3058103975535168,0
sl_ext,SAMEA2534424,PZA,0.2140084207057953,0.3058103975535168,0
sl_ext,SAMEA2534429,PZA,0.2140084207057953,0.3058103975535168,0
sl_ext,SAMEA2534435,PZA,0.2140084207057953,0.3058103975535168,0
sl_ext,SAMEA2534452,PZA,0.2140084207057953,0.3058103975535168,0
sl_ext,SAMEA2534453,PZA,0.2140084207057953,0.3058103975535168,0
sl_ext,SAMEA2534512,PZA,0.2140084207057953,0.3058103975535168,0
sl_ext,SAMEA2534521,PZA,0.2140084207057953,0.3058103975535168,0
sl_ext,SAMEA2534522,PZA,0.2140084207057953,0.3058103975535168,0
sl_ext,SAMEA2534527,PZA,0.2140084207057953,0.3058103975535168,0
sl_ext,SAMEA2534540,PZA,0.2140084207057953,0.3058103975535168,0
sl_ext,SAMEA2534557,PZA,0.2140084207057953,0.3058103975535168,0
sl_ext,SAMEA2534632,PZA,0.2140084207057953,0.3058103975535168,0
sl_ext,SAMEA2534641,PZA,0.7844865918159485,0.8365081492973198,1
sl_ext,SAMEA2534660,PZA,0.2140084207057953,0.3058103975535168,0
sl_ext,SAMEA2534705,PZA,0.2140084207057953,0.3058103975535168,0
sl_ext,SAMEA2534728,PZA,0.2140084207057953,0.3058103975535168,0
sl_ext,SAMEA2534762,PZA,0.2140084207057953,0.3058103975535168,0
sl_ext,SAMEA2534794,PZA,0.2140084207057953,0.3058103975535168,0
sl_ext,SAMEA2534802,PZA,0.31243276596069336,0.4049586776859504,0
sl_ext,SAMEA2534807,PZA,0.2140084207057953,0.3058103975535168,0
sl_ext,SAMEA2534839,PZA,0.2140084207057953,0.3058103975535168,0
sl_ext,SAMEA2534856,PZA,0.2140084207057953,0.3058103975535168,0
sl_ext,SAMEA2534857,PZA,0.2140084207057953,0.3058103975535168,0
sl_ext,SAMEA2534913,PZA,0.2140084207057953,0.3058103975535168,0
sl_ext,SAMEA2534939,PZA,0.2140084207057953,0.3058103975535168,0
sl_ext,SAMEA2534954,PZA,0.2140084207057953,0.3058103975535168,0
sl_ext,SAMEA2534975,PZA,0.2140084207057953,0.3058103975535168,0
sl_ext,SAMEA2535001,PZA,0.2140084207057953,0.3058103975535168,0
sl_ext,SAMEA2535009,PZA,0.2140084207057953,0.3058103975535168,0
sl_ext,SAMEA2535012,PZA,0.2140084207057953,0.3058103975535168,0
sl_ext,SAMEA2535046,PZA,0.2140084207057953,0.3058103975535168,0
sl_ext,SAMEA2535059,PZA,0.7844865918159485,0.8365081492973198,0
sl_ext,SAMEA2535067,PZA,0.2140084207057953,0.3058103975535168,0
sl_ext,SAMEA2535078,PZA,0.2140084207057953,0.3058103975535168,0
sl_ext,SAMEA2535082,PZA,0.2140084207057953,0.3058103975535168,0
sl_ext,SAMEA2535087,PZA,0.2140084207057953,0.3058103975535168,0
sl_ext,SAMEA2535095,PZA,0.2140084207057953,0.3058103975535168,0
sl_ext,SAMEA2535158,PZA,0.7844865918159485,0.8365081492973198,0
