query_accession	run_accession	sample_accession	fastq_url
ERS5317656	ERR4828583	SAMEA7561020	https://ftp.sra.ebi.ac.uk/vol1/fastq/ERR482/003/ERR4828583/ERR4828583_2.fastq.gz
ERS5304231	ERR4814071	SAMEA7547577	https://ftp.sra.ebi.ac.uk/vol1/fastq/ERR481/001/ERR4814071/ERR4814071_1.fastq.gz
ERS5304231	ERR4814071	SAMEA7547577	https://ftp.sra.ebi.ac.uk/vol1/fastq/ERR481/001/ERR4814071/ERR4814071_2.fastq.gz
ERS5303566	ERR4813406	SAMEA7546911	https://ftp.sra.ebi.ac.uk/vol1/fastq/ERR481/006/ERR4813406/ERR4813406_1.fastq.gz
ERS5303566	ERR4813406	SAMEA7546911	https://ftp.sra.ebi.ac.uk/vol1/fastq/ERR481/006/ERR4813406/ERR4813406_2.fastq.gz
ERS5298705	ERR4810678	SAMEA7542253	https://ftp.sra.ebi.ac.uk/vol1/fastq/ERR481/008/ERR4810678/ERR4810678_1.fastq.gz
ERS5298705	ERR4810678	SAMEA7542253	https://ftp.sra.ebi.ac.uk/vol1/fastq/ERR481/008/ERR4810678/ERR4810678_2.fastq.gz
ERS5318238	ERR4829165	SAMEA7561603	https://ftp.sra.ebi.ac.uk/vol1/fastq/ERR482/005/ERR4829165/ERR4829165_1.fastq.gz
ERS5318238	ERR4829165	SAMEA7561603	https://ftp.sra.ebi.ac.uk/vol1/fastq/ERR482/005/ERR4829165/ERR4829165_2.fastq.gz
ERS5312546	ERR4822482	SAMEA7555903	https://ftp.sra.ebi.ac.uk/vol1/fastq/ERR482/002/ERR4822482/ERR4822482_1.fastq.gz
ERS5312546	ERR4822482	SAMEA7555903	https://ftp.sra.ebi.ac.uk/vol1/fastq/ERR482/002/ERR4822482/ERR4822482_2.fastq.gz
ERS5319339	ERR4830266	SAMEA7562706	https://ftp.sra.ebi.ac.uk/vol1/fastq/ERR483/006/ERR4830266/ERR4830266_1.fastq.gz
ERS5319339	ERR4830266	SAMEA7562706	https://ftp.sra.ebi.ac.uk/vol1/fastq/ERR483/006/ERR4830266/ERR4830266_2.fastq.gz
ERS5318542	ERR4829469	SAMEA7561907	https://ftp.sra.ebi.ac.uk/vol1/fastq/ERR482/009/ERR4829469/ERR4829469_1.fastq.gz
ERS5318542	ERR4829469	SAMEA7561907	https://ftp.sra.ebi.ac.uk/vol1/fastq/ERR482/009/ERR4829469/ERR4829469_2.fastq.gz
ERS5282095	ERR4797079	SAMEA7525621	https://ftp.sra.ebi.ac.uk/vol1/fastq/ERR479/009/ERR4797079/ERR4797079_1.fastq.gz
