query_accession	run_accession	sample_accession	fastq_url
PRJEB7727	ERR551398	SAMEA2533915	https://ftp.sra.ebi.ac.uk/vol1/fastq/ERR551/ERR551398/ERR551398_1.fastq.gz
PRJEB7727	ERR551398	SAMEA2533915	https://ftp.sra.ebi.ac.uk/vol1/fastq/ERR551/ERR551398/ERR551398_2.fastq.gz
PRJEB7727	ERR551419	SAMEA2533929	https://ftp.sra.ebi.ac.uk/vol1/fastq/ERR551/ERR551419/ERR551419_1.fastq.gz
PRJEB7727	ERR551419	SAMEA2533929	https://ftp.sra.ebi.ac.uk/vol1/fastq/ERR551/ERR551419/ERR551419_2.fastq.gz
PRJEB7727	ERR551440	SAMEA2533942	https://ftp.sra.ebi.ac.uk/vol1/fastq/ERR551/ERR551440/ERR551440_1.fastq.gz
PRJEB7727	ERR551440	SAMEA2533942	https://ftp.sra.ebi.ac.uk/vol1/fastq/ERR551/ERR551440/ERR551440_2.fastq.gz
PRJEB7727	ERR551511	SAMEA2533994	https://ftp.sra.ebi.ac.uk/vol1/fastq/ERR551/ERR551511/ERR551511_1.fastq.gz
PRJEB7727	ERR551511	SAMEA2533994	https://ftp.sra.ebi.ac.uk/vol1/fastq/ERR551/ERR551511/ERR551511_2.fastq.gz
PRJEB7727	ERR551512	SAMEA2533994	https://ftp.sra.ebi.ac.uk/vol1/fastq/ERR551/ERR551512/ERR551512_1.fastq.gz
PRJEB7727	ERR551512	SAMEA2533994	https://ftp.sra.ebi.ac.uk/vol1/fastq/ERR551/ERR551512/ERR551512_2.fastq.gz
PRJEB7727	ERR551566	SAMEA2534031	https://ftp.sra.ebi.ac.uk/vol1/fastq/ERR551/ERR551566/ERR551566_1.fastq.gz
PRJEB7727	ERR551566	SAMEA2534031	https://ftp.sra.ebi.ac.uk/vol1/fastq/ERR551/ERR551566/ERR551566_2.fastq.gz
PRJEB7727	ERR551569	SAMEA2534034	https://ftp.sra.ebi.ac.uk/vol1/fastq/ERR551/ERR551569/ERR551569_1.fastq.gz
PRJEB7727	ERR551569	SAMEA2534034	https://ftp.sra.ebi.ac.uk/vol1/fastq/ERR551/ERR551569/ERR551569_2.fastq.gz
PRJEB7727	ERR551620	SAMEA2534074	https://ftp.sra.ebi.ac.uk/vol1/fastq/ERR551/ERR551620/ERR551620_1.fastq.gz
PRJEB7727	ERR551620	SAMEA2534074	https://ftp.sra.ebi.ac.uk/vol1/fastq/ERR551/ERR551620/ERR551620_2.fastq.gz
PRJEB7727	ERR551807	SAMEA2534204	https://ftp.sra.ebi.ac.uk/vol1/fastq/ERR551/ERR551807/ERR551807_1.fastq.gz
PRJEB7727	ERR551807	SAMEA2534204	https://ftp.sra.ebi.ac.uk/vol1/fastq/ERR551/ERR551807/ERR551807_2.fastq.gz
PRJEB7727	ERR551847	SAMEA2534237	https://ftp.sra.ebi.ac.uk/vol1/fastq/ERR551/ERR551847/ERR551847_1.fastq.gz
PRJEB7727	ERR551847	SAMEA2534237	https://ftp.sra.ebi.ac.uk/vol1/fastq/ERR551/ERR551847/ERR551847_2.fastq.gz
PRJEB7727	ERR552081	SAMEA2534401	https://ftp.sra.ebi.ac.uk/vol1/fastq/ERR552/ERR552081/ERR552081_1.fastq.gz
PRJEB7727	ERR552081	SAMEA2534401	https://ftp.sra.ebi.ac.uk/vol1/fastq/ERR552/ERR552081/ERR552081_2.fastq.gz
PRJEB7727	ERR552093	SAMEA2534408	https://ftp.sra.ebi.ac.uk/vol1/fastq/ERR552/ERR552093/ERR552093_1.fastq.gz
PRJEB7727	ERR552093	SAMEA2534408	https://ftp.sra.ebi.ac.uk/vol1/fastq/ERR552/ERR552093/ERR552093_2.fastq.gz
PRJEB7727	ERR552095	SAMEA2534409	https://ftp.sra.ebi.ac.uk/vol1/fastq/ERR552/ERR552095/ERR552095_1.fastq.gz
PRJEB7727	ERR552095	SAMEA2534409	https://ftp.sra.ebi.ac.uk/vol1/fastq/ERR552/ERR552095/ERR552095_2.fastq.gz
PRJEB7727	ERR552125	SAMEA2534429	https://ftp.sra.ebi.ac.uk/vol1/fastq/ERR552/ERR552125/ERR552125_1.fastq.gz
